sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
170,2025-09-27 23:27:31.485000+00:00,84451485,7.543083333333334,7987.458333333333,0.5857708333333334,12.506874999999999,23.544375,-3.237916666666666,22.861666666666665,-0.010530313958333332,-0.013459059583333332,0.7876765208333333,-0.5858220208333333,0.6849452916666666,1.010344375,17.492710416666668,11.829725624999998,-9.969166666666666,,-5.97525,25.583166666666667,8656.337291666667,8806.403333333334,75.25,36.2,58.4,0.37
171,2025-09-27 23:27:31.585000+00:00,84451585,7.5744827586206895,8014.793103448276,0.5532413793103448,5.156896551724138,10.000689655172414,-0.6944827586206896,9.657241379310346,-0.03729838965517241,0.002490599310344827,0.7921461379310345,-0.3205219310344828,0.4619903448275862,1.0014668275862069,10.746424137931037,13.242646551724139,-5.706595172413793,,-3.294862068965517,25.28996551724138,8657.05827586207,8807.123103448275,76.12068965517241,36.2,58.4,0.37144827586206897
172,2025-09-27 23:27:31.685000+00:00,84451685,7.552150537634408,7989.225806451613,0.5807311827956989,2.753225806451613,5.452043010752688,0.0937634408602151,5.350215053763441,-0.020191462365591398,0.018451292043010756,0.7837185591397849,0.2371470215053763,0.5927130645161289,0.9877050645161289,-26.304117204301075,18.386751612903225,3.105361075268817,,-2.387010752688172,25.084010752688172,8657.829892473119,8807.893978494623,75.73655913978494,36.2,58.4,0.3753655913978495
173,2025-09-27 23:27:31.785000+00:00,84451785,7.528638297872341,7945.127659574468,0.5437659574468086,2.0842553191489364,4.327446808510638,-0.2525531914893617,4.118510638297872,-0.008189799574468085,0.03648292127659575,0.7618484042553191,0.11232289361702119,-0.1270132340425532,0.9897573829787234,-6.2162299999999995,8.95809425531915,15.825440425531914,,-2.1639787234042553,24.762808510638298,8658.561914893618,8808.621914893618,76.36170212765957,36.2,58.4,0.3789787234042553
174,2025-09-27 23:27:31.885000+00:00,84451885,7.4697272727272725,7871.227272727273,0.545409090909091,2.291818181818182,4.639090909090909,0.04999999999999999,4.58,-0.0105911,0.0421907,0.754693,-0.195096,-0.325978,0.992907,-2.53671,8.00573,18.2395,,-2.1587727272727273,24.608136363636362,8659.284545454546,8809.344545454545,76.36818181818181,36.2,58.4,0.38231818181818183
175,2025-09-27 23:27:31.985000+00:00,84451985,7.391047619047619,7801.714285714285,0.5272380952380953,-0.4733333333333336,-1.0795238095238098,0.016666666666666663,-1.0985714285714288,-0.0071919,0.04698441428571428,0.7301815714285714,-0.16161409523809522,0.47805723809523815,1.002414619047619,9.25418523809524,6.270349047619048,11.534071428571428,,-1.026857142857143,23.987,8660.096666666666,8810.156666666668,76.3,36.2,58.4,0.3868095238095238
176,2025-09-27 23:27:32.085000+00:00,84452085,7.348386363636363,7816.852272727273,0.5306477272727274,-1.365568181818182,-3.064431818181818,-0.4075,-3.0046590909090907,-0.008497256022727273,0.05435095113636364,0.727307875,0.6107554090909091,0.23002931818181818,0.9993943977272728,-19.177335454545453,3.2936669318181817,-7.831794772727273,,-0.7255795454545455,23.811886363636365,8660.7675,8810.8275,77.10454545454544,36.2,58.4,0.3910454545454546
177,2025-09-27 23:27:32.185000+00:00,84452185,7.373427536231884,7784.971014492754,0.4969855072463768,-5.563623188405797,-12.758550724637681,-0.186231884057971,-12.71855072463768,-0.021309286956521737,0.05801200362318841,0.7477547246376812,-0.0847248695652174,0.6733220724637681,0.9884753623188406,-4.547999275362319,7.729355072463768,-17.58666086956522,,1.076572463768116,22.989471014492754,8661.482173913044,8811.542173913043,77.51884057971014,36.2,58.4,0.39556521739130435
178,2025-09-27 23:27:32.285000+00:00,84452285,7.307485507246377,7638.594202898551,0.4737971014492754,-7.360724637681159,-17.439710144927535,-0.1572463768115942,-17.399710144927536,-0.03000841739130435,0.07041280072463768,0.7639141449275363,0.08898382608695653,0.5555380144927536,0.9925550724637681,-16.467839855072466,19.245471014492754,-12.534052173913043,,1.942514492753623,22.093094202898552,8661.960434782608,8812.020434782607,77.66376811594203,36.2,58.4,0.3999130434782609
179,2025-09-27 23:27:32.385000+00:00,84452385,6.965728260869565,7293.847826086956,0.4802282608695652,-5.02195652173913,-12.414347826086956,0.20869565217391303,-12.29282608695652,0.0035747619565217395,0.09621109782608696,0.7648031847826087,-0.1988436195652174,0.8488316739130435,1.0186062500000002,-36.169539130434785,23.99729891304348,4.4416570652173935,,1.0820978260869565,21.53313043478261,8662.83,8812.89,77.04782608695653,36.2,58.4,0.4083369565217391
