ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
,32,3200.0,2025-10-02 20:43:45.178000+00:00,2025-10-02 13:43:45.178,74625178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0500414416666666,0.3970377499999999,0.1372403541666666,-0.3790654375,-0.0420052520833333,0.912958625,0.0761424416666666,-0.0939680520833333,0.0302278458333333,47.59815019,,-0.0599791666666666,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,33,3300.0,2025-10-02 20:43:45.278000+00:00,2025-10-02 13:43:45.278,74625278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0496216768,0.3968945279999999,0.137293992,-0.381511208,-0.043976952,0.913066968,0.1736738384,-0.0379081112,-0.0850384288,47.59815019,,-0.059224,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,34,3400.0,2025-10-02 20:43:45.378000+00:00,2025-10-02 13:43:45.378,74625378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0492454514285714,0.3969861142857143,0.1373393428571428,-0.3804862571428571,-0.0424664285714285,0.9133582,0.1335949542857142,0.0498510314285714,-0.0777620057142857,47.59815019,,-0.0595142857142857,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.54857142857142,20.8,19.9,0.99,100,True
,35,3500.0,2025-10-02 20:43:45.478000+00:00,2025-10-02 13:43:45.478,74625478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0489575663157894,0.3971888315789473,0.137407747368421,-0.3806102210526316,-0.0420104021052631,0.9136484736842104,0.1434144884210526,0.1658278842105263,0.001663567368421,47.59815019,,-0.0596631578947368,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.53368421052632,20.8,19.9,0.99,100,True
,36,3600.0,2025-10-02 20:43:45.578000+00:00,2025-10-02 13:43:45.578,74625578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0487410523076923,0.3974237,0.1374956769230769,-0.3841047615384615,-0.0445348284615384,0.913736576923077,0.2470828461538461,0.1993503307692307,0.0454271569230769,47.59815019,,-0.0592846153846153,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.57153846153845,20.8,19.9,0.99,100,True
,37,3700.0,2025-10-02 20:43:45.678000+00:00,2025-10-02 13:43:45.678,74625678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0483996706521739,0.3976457826086956,0.1375311086956522,-0.384023402173913,-0.0432727217391304,0.91371725,0.1323223195652174,0.0427663510869565,-0.0541388804347826,47.59815019,,-0.06,-0.0420760869565217,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.50760869565218,20.8,19.9,0.99,100,True
,38,3800.0,2025-10-02 20:43:45.778000+00:00,2025-10-02 13:43:45.778,74625778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0482285333333333,0.3979851666666666,0.1376998333333333,-0.3825191666666667,-0.0396223166666666,0.9134808333333332,-0.013141,0.0118955833333333,-0.1709116666666666,47.59815019,,-0.06,-0.0428333333333333,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.58333333333333,20.816666666666663,19.9,0.99,100,True
,39,3900.0,2025-10-02 20:43:45.878000+00:00,2025-10-02 13:43:45.878,74625878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0487608630434782,0.3980475760869565,0.1379733478260869,-0.3797735326086957,-0.0356999380434782,0.9131702173913044,-0.2843436576086957,0.016138402173913,-0.1280644836956521,47.59815019,,-0.06,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.52717391304347,20.87282608695652,19.9,0.99,100,True
,40,4000.0,2025-10-02 20:43:45.978000+00:00,2025-10-02 13:43:45.978,74625978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0493818243902439,0.3978418902439024,0.1383173902439024,-0.3826672682926829,-0.0396683743902439,0.9127566707317072,-0.018167381707317,-0.3012209914634146,-0.0687130487804878,47.598147151585366,,-0.0595975609756097,-0.042,-0.122,0.235,-122.83092234487803,132.7631300257317,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,41,4100.0,2025-10-02 20:43:46.078000+00:00,2025-10-02 13:43:46.078,74626078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0492915865168539,0.3974605505617977,0.1384737415730337,-0.3827413033707865,-0.0415445640449438,0.9124931797752808,0.0653210943820224,0.0682982269662921,-0.0780966808988764,47.59814264,,-0.059,-0.042,-0.122,0.235,-122.8310039,127.23254553,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,42,4200.0,2025-10-02 20:43:46.178000+00:00,2025-10-02 13:43:46.178,74626178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0490764374100719,0.3974735611510791,0.1385488848920863,-0.3842311798561151,-0.042790562589928,0.9126078201438848,0.1276448561151079,0.1878002733812949,-0.0834473280575539,47.59814264,,-0.059,-0.042,-0.122,0.235,-122.8310039,127.23254553,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,43,4300.0,2025-10-02 20:43:46.278000+00:00,2025-10-02 13:43:46.278,74626278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0487558516853932,0.3977088426966292,0.1386105505617977,-0.3824706404494382,-0.0425259033707865,0.9128178539325844,0.1886893146067415,0.1879577640449438,-0.0680370202247191,47.59814264,,-0.059,-0.042,-0.122,0.235,-122.8310039,127.23254553,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,44,4400.0,2025-10-02 20:43:46.378000+00:00,2025-10-02 13:43:46.378,74626378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0482924206896551,0.3981052298850575,0.1387263333333333,-0.3789704712643678,-0.0421376183908046,0.9130348850574712,0.050686124137931,0.1054837264367816,-0.1071969195402298,47.59814264,,-0.0593908045977011,-0.042,-0.122,0.235,-122.8310039,127.23254553,0.0,0.0,83.6,20.8,19.9,0.99,100,True
